101m Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1mkm Sequence Parse Errors: 41; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 14
1mko Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 17; Helix to Digit Errors: 11
1mkq Sequence Parse Errors: 23; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 0
1mkr Sequence Parse Errors: 23; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 0
1mks Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1mkt Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1mku Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1mkv Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1ml2 Sequence Parse Errors: 23; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 0
1mlf Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mlg Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mlh Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mlj Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mlk Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mll Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mlm Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mln Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mlo Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mlq Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mlr Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mls Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mlu Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mlv Sequence Parse Errors: 105; Helix Parse Errors: 0; Helix Extraction Errors: 50; Helix to Digit Errors: 18
1mmf Sequence Parse Errors: 138; Helix Parse Errors: 0; Helix Extraction Errors: 54; Helix to Digit Errors: 16
1mmm Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 22; Helix to Digit Errors: 0
1mms Sequence Parse Errors: 32; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1mn1 Sequence Parse Errors: 28; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1mn2 Sequence Parse Errors: 28; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1mn3 Sequence Parse Errors: 5; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 2
1mn8 Sequence Parse Errors: 32; Helix Parse Errors: 0; Helix Extraction Errors: 18; Helix to Digit Errors: 0
1mnf Sequence Parse Errors: 616; Helix Parse Errors: 0; Helix Extraction Errors: 95; Helix to Digit Errors: 0
1mng Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1mnh Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mni Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mnj Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mnk Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mnm Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 2
1mno Sequence Parse Errors: 26; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1mnp Sequence Parse Errors: 39; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mnt Sequence Parse Errors: 18; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1moa Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mob Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1moc Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mod Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1moh Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1moj Sequence Parse Errors: 57; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1mp1 Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 2
1mpg Sequence Parse Errors: 44; Helix Parse Errors: 0; Helix Extraction Errors: 20; Helix to Digit Errors: 0
1mpw Sequence Parse Errors: 64; Helix Parse Errors: 0; Helix Extraction Errors: 26; Helix to Digit Errors: 0
1mq1 Sequence Parse Errors: 16; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mq2 Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1mq3 Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1mqv Sequence Parse Errors: 21; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1mr8 Sequence Parse Errors: 16; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1msd Sequence Parse Errors: 48; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mse Sequence Parse Errors: 21; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1msf Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mtc Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1mti Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mtj Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mtk Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mty Sequence Parse Errors: 166; Helix Parse Errors: 0; Helix Extraction Errors: 67; Helix to Digit Errors: 28
1mu5 Sequence Parse Errors: 38; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1mud Sequence Parse Errors: 18; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1mul Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1mun Sequence Parse Errors: 18; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1muu Sequence Parse Errors: 136; Helix Parse Errors: 0; Helix Extraction Errors: 53; Helix to Digit Errors: 0
1mux Sequence Parse Errors: 13; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1muy Sequence Parse Errors: 18; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1mv8 Sequence Parse Errors: 136; Helix Parse Errors: 0; Helix Extraction Errors: 52; Helix to Digit Errors: 0
1mv9 Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 7
1mvc Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 7
1mwb Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1mwc Sequence Parse Errors: 26; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1mwd Sequence Parse Errors: 26; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1mwn Sequence Parse Errors: 19; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1mwv Sequence Parse Errors: 110; Helix Parse Errors: 0; Helix Extraction Errors: 59; Helix to Digit Errors: 30
1mx0 Sequence Parse Errors: 222; Helix Parse Errors: 0; Helix Extraction Errors: 68; Helix to Digit Errors: 40
1mxe Sequence Parse Errors: 28; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 2
1mxl Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1mxr Sequence Parse Errors: 58; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1my6 Sequence Parse Errors: 32; Helix Parse Errors: 0; Helix Extraction Errors: 16; Helix to Digit Errors: 0
1myf Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1myg Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1myh Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1myi Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1myj Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1myk Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1myl Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1mym Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1myt Sequence Parse Errors: 20; Helix Parse Errors: 1; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1myz Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1mz0 Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1mz4 Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 0
1mz8 Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 16; Helix to Digit Errors: 2
1mzb Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 3
1mzc Sequence Parse Errors: 64; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 13
1mzl Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1mzm Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1mzn Sequence Parse Errors: 80; Helix Parse Errors: 0; Helix Extraction Errors: 27; Helix to Digit Errors: 28
1n00 Sequence Parse Errors: 25; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1n0j Sequence Parse Errors: 34; Helix Parse Errors: 1; Helix Extraction Errors: 14; Helix to Digit Errors: 0
1n0n Sequence Parse Errors: 33; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 0
1n0y Sequence Parse Errors: 24; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1n15 Sequence Parse Errors: 84; Helix Parse Errors: 0; Helix Extraction Errors: 23; Helix to Digit Errors: 0
1n1b Sequence Parse Errors: 86; Helix Parse Errors: 0; Helix Extraction Errors: 23; Helix to Digit Errors: 35
1n1c Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1n1e Sequence Parse Errors: 58; Helix Parse Errors: 0; Helix Extraction Errors: 18; Helix to Digit Errors: 0
1n1f Sequence Parse Errors: 14; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1n1g Sequence Parse Errors: 29; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1n1j Sequence Parse Errors: 16; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 4
1n1q Sequence Parse Errors: 49; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1n1z Sequence Parse Errors: 86; Helix Parse Errors: 0; Helix Extraction Errors: 26; Helix to Digit Errors: 34
1n20 Sequence Parse Errors: 86; Helix Parse Errors: 0; Helix Extraction Errors: 22; Helix to Digit Errors: 33
1n21 Sequence Parse Errors: 43; Helix Parse Errors: 0; Helix Extraction Errors: 11; Helix to Digit Errors: 18
1n22 Sequence Parse Errors: 86; Helix Parse Errors: 0; Helix Extraction Errors: 22; Helix to Digit Errors: 38
1n23 Sequence Parse Errors: 86; Helix Parse Errors: 0; Helix Extraction Errors: 24; Helix to Digit Errors: 33
1n24 Sequence Parse Errors: 86; Helix Parse Errors: 0; Helix Extraction Errors: 22; Helix to Digit Errors: 34
1n28 Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1n29 Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1n2a Sequence Parse Errors: 32; Helix Parse Errors: 0; Helix Extraction Errors: 11; Helix to Digit Errors: 0
1n2d Sequence Parse Errors: 28; Helix Parse Errors: 0; Helix Extraction Errors: 19; Helix to Digit Errors: 1
1n2x Sequence Parse Errors: 48; Helix Parse Errors: 0; Helix Extraction Errors: 18; Helix to Digit Errors: 13
1n32 Sequence Parse Errors: 322; Helix Parse Errors: 0; Helix Extraction Errors: 48; Helix to Digit Errors: 32
1n34 Sequence Parse Errors: 320; Helix Parse Errors: 0; Helix Extraction Errors: 48; Helix to Digit Errors: 32
1n36 Sequence Parse Errors: 319; Helix Parse Errors: 0; Helix Extraction Errors: 48; Helix to Digit Errors: 32
1n39 Sequence Parse Errors: 29; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1n3a Sequence Parse Errors: 29; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 0
1n3c Sequence Parse Errors: 29; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 0
1n3k Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1n3u Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 0
1n40 Sequence Parse Errors: 31; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 0
1n41 Sequence Parse Errors: 25; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1n42 Sequence Parse Errors: 25; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1n44 Sequence Parse Errors: 25; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1n45 Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1n46 Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 12
1n4c Sequence Parse Errors: 15; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1n4g Sequence Parse Errors: 31; Helix Parse Errors: 0; Helix Extraction Errors: 15; Helix to Digit Errors: 0
1n4h Sequence Parse Errors: 22; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 7
1n4k Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 6
1n4m Sequence Parse Errors: 60; Helix Parse Errors: 0; Helix Extraction Errors: 24; Helix to Digit Errors: 18
1n4p Sequence Parse Errors: 350; Helix Parse Errors: 0; Helix Extraction Errors: 68; Helix to Digit Errors: 72
1n4q Sequence Parse Errors: 354; Helix Parse Errors: 0; Helix Extraction Errors: 69; Helix to Digit Errors: 68
1n4r Sequence Parse Errors: 354; Helix Parse Errors: 0; Helix Extraction Errors: 67; Helix to Digit Errors: 72
1n4s Sequence Parse Errors: 354; Helix Parse Errors: 0; Helix Extraction Errors: 65; Helix to Digit Errors: 73
1n50 Sequence Parse Errors: 84; Helix Parse Errors: 0; Helix Extraction Errors: 25; Helix to Digit Errors: 0
1n52 Sequence Parse Errors: 73; Helix Parse Errors: 0; Helix Extraction Errors: 23; Helix to Digit Errors: 1
1n54 Sequence Parse Errors: 73; Helix Parse Errors: 0; Helix Extraction Errors: 20; Helix to Digit Errors: 1
1n5u Sequence Parse Errors: 45; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 0
1n5w Sequence Parse Errors: 198; Helix Parse Errors: 0; Helix Extraction Errors: 62; Helix to Digit Errors: 26
1n5x Sequence Parse Errors: 206; Helix Parse Errors: 0; Helix Extraction Errors: 74; Helix to Digit Errors: 0
1n60 Sequence Parse Errors: 198; Helix Parse Errors: 0; Helix Extraction Errors: 61; Helix to Digit Errors: 28
1n61 Sequence Parse Errors: 198; Helix Parse Errors: 0; Helix Extraction Errors: 61; Helix to Digit Errors: 27
1n62 Sequence Parse Errors: 198; Helix Parse Errors: 0; Helix Extraction Errors: 61; Helix to Digit Errors: 27
1n63 Sequence Parse Errors: 198; Helix Parse Errors: 0; Helix Extraction Errors: 62; Helix to Digit Errors: 26
1n65 Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1n69 Sequence Parse Errors: 21; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 5
1n6b Sequence Parse Errors: 37; Helix Parse Errors: 0; Helix Extraction Errors: 11; Helix to Digit Errors: 8
1n72 Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 3
1n75 Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 0
1n77 Sequence Parse Errors: 84; Helix Parse Errors: 0; Helix Extraction Errors: 27; Helix to Digit Errors: 0
1n78 Sequence Parse Errors: 84; Helix Parse Errors: 0; Helix Extraction Errors: 28; Helix to Digit Errors: 0
1n7n Sequence Parse Errors: 56; Helix Parse Errors: 0; Helix Extraction Errors: 15; Helix to Digit Errors: 11
1n7o Sequence Parse Errors: 56; Helix Parse Errors: 0; Helix Extraction Errors: 15; Helix to Digit Errors: 11
1n7p Sequence Parse Errors: 56; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 13
1n7q Sequence Parse Errors: 56; Helix Parse Errors: 0; Helix Extraction Errors: 11; Helix to Digit Errors: 12
1n7r Sequence Parse Errors: 56; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 13
1n81 Sequence Parse Errors: 16; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 3
1n83 Sequence Parse Errors: 21; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 7
1n89 Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1n8q Sequence Parse Errors: 66; Helix Parse Errors: 0; Helix Extraction Errors: 30; Helix to Digit Errors: 0
1n8r Sequence Parse Errors: 574; Helix Parse Errors: 0; Helix Extraction Errors: 98; Helix to Digit Errors: 40
1n8u Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1n8v Sequence Parse Errors: 18; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1n90 Sequence Parse Errors: 84; Helix Parse Errors: 0; Helix Extraction Errors: 27; Helix to Digit Errors: 0
1n93 Sequence Parse Errors: 29; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 8
1n94 Sequence Parse Errors: 56; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 23
1n95 Sequence Parse Errors: 56; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 27
1n97 Sequence Parse Errors: 60; Helix Parse Errors: 0; Helix Extraction Errors: 16; Helix to Digit Errors: 0
1n9a Sequence Parse Errors: 56; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 27
1n9c Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 2
1n9f Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1n9h Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1n9i Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1n9x Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1naf Sequence Parse Errors: 14; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 5
1nav Sequence Parse Errors: 21; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 7
1nax Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 7
1naz Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1nbb Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1nbp Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1nc5 Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1ncx Sequence Parse Errors: 13; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1ncy Sequence Parse Errors: 13; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1ncz Sequence Parse Errors: 13; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1nd9 Sequence Parse Errors: 4; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1nde Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 5
1nej Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 20; Helix to Digit Errors: 8
1nek Sequence Parse Errors: 85; Helix Parse Errors: 0; Helix Extraction Errors: 18; Helix to Digit Errors: 9
1nen Sequence Parse Errors: 85; Helix Parse Errors: 0; Helix Extraction Errors: 18; Helix to Digit Errors: 9
1neq Sequence Parse Errors: 6; Helix Parse Errors: 1; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1ner Sequence Parse Errors: 6; Helix Parse Errors: 1; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1new Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1nf1 Sequence Parse Errors: 26; Helix Parse Errors: 0; Helix Extraction Errors: 11; Helix to Digit Errors: 5
1nf4 Sequence Parse Errors: 224; Helix Parse Errors: 0; Helix Extraction Errors: 11; Helix to Digit Errors: 0
1nf6 Sequence Parse Errors: 224; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1nfn Sequence Parse Errors: 15; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1nfo Sequence Parse Errors: 15; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1nfv Sequence Parse Errors: 224; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1ng1 Sequence Parse Errors: 23; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1ng6 Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1ng7 Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1ng9 Sequence Parse Errors: 130; Helix Parse Errors: 0; Helix Extraction Errors: 36; Helix to Digit Errors: 0
1ngk Sequence Parse Errors: 120; Helix Parse Errors: 0; Helix Extraction Errors: 49; Helix to Digit Errors: 0
1ngn Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 5
1ngr Sequence Parse Errors: 13; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1nh2 Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 5
1nha Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 2
1nhm Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1nhn Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1nhy Sequence Parse Errors: 17; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1nhz Sequence Parse Errors: 23; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 6
1ni1 Sequence Parse Errors: 56; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 24
1ni2 Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1ni6 Sequence Parse Errors: 72; Helix Parse Errors: 0; Helix Extraction Errors: 22; Helix to Digit Errors: 0
1ni8 Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1nig Sequence Parse Errors: 13; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1nih Sequence Parse Errors: 78; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1nir Sequence Parse Errors: 84; Helix Parse Errors: 0; Helix Extraction Errors: 25; Helix to Digit Errors: 0
1niw Sequence Parse Errors: 56; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 0
1nji Sequence Parse Errors: 574; Helix Parse Errors: 0; Helix Extraction Errors: 98; Helix to Digit Errors: 41
1nkd Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1nkl Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1nkp Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 8
1nkt Sequence Parse Errors: 142; Helix Parse Errors: 0; Helix Extraction Errors: 38; Helix to Digit Errors: 39
